,Patient,Frame,Cluster,Pose
0,Patient_1,5,0,Standing
1,Patient_1,6,0,Standing
2,Patient_1,7,0,Standing
3,Patient_1,8,0,Standing
4,Patient_1,9,0,Standing
5,Patient_1,10,0,Standing
6,Patient_1,11,0,Standing
7,Patient_1,12,0,Standing
8,Patient_1,13,0,Standing
9,Patient_1,14,0,Standing
10,Patient_1,16,0,Standing
11,Patient_1,17,0,Standing
12,Patient_1,18,0,Standing
13,Patient_1,19,0,Standing
14,Patient_1,20,0,Standing
15,Patient_1,21,0,Standing
16,Patient_1,22,0,Standing
17,Patient_1,23,0,Standing
18,Patient_1,24,0,Standing
19,Patient_1,25,0,Standing
20,Patient_1,27,0,Standing
21,Patient_1,28,0,Standing
22,Patient_1,29,0,Standing
23,Patient_1,30,0,Standing
24,Patient_1,31,0,Standing
25,Patient_1,32,0,Standing
26,Patient_1,33,0,Standing
27,Patient_1,34,0,Standing
28,Patient_1,35,0,Standing
29,Patient_1,36,0,Standing
30,Patient_1,38,0,Standing
31,Patient_1,39,0,Standing
32,Patient_1,40,0,Standing
33,Patient_1,41,0,Standing
34,Patient_1,42,0,Standing
35,Patient_1,43,0,Standing
36,Patient_1,44,0,Standing
37,Patient_1,45,0,Standing
38,Patient_1,46,0,Standing
39,Patient_1,47,0,Standing
40,Patient_1,49,0,Standing
41,Patient_1,50,0,Standing
42,Patient_1,51,0,Standing
43,Patient_1,52,0,Standing
44,Patient_1,53,0,Standing
45,Patient_1,54,0,Standing
46,Patient_1,55,0,Standing
47,Patient_1,56,0,Standing
48,Patient_1,57,0,Standing
49,Patient_1,58,0,Standing
50,Patient_1,60,0,Standing
51,Patient_1,61,0,Standing
52,Patient_1,62,0,Standing
53,Patient_1,63,0,Standing
54,Patient_1,64,0,Standing
55,Patient_1,65,0,Standing
56,Patient_1,66,0,Standing
57,Patient_1,67,0,Standing
58,Patient_1,68,0,Standing
59,Patient_1,69,0,Standing
60,Patient_1,71,0,Standing
61,Patient_1,72,0,Standing
62,Patient_1,73,0,Standing
63,Patient_1,74,0,Standing
64,Patient_1,75,0,Standing
65,Patient_1,76,0,Standing
66,Patient_1,77,0,Standing
67,Patient_1,78,0,Standing
68,Patient_1,79,0,Standing
69,Patient_1,80,0,Standing
70,Patient_1,82,0,Standing
71,Patient_1,83,0,Standing
72,Patient_1,84,0,Standing
73,Patient_1,85,0,Standing
74,Patient_1,86,0,Standing
75,Patient_1,87,0,Standing
76,Patient_1,88,0,Standing
77,Patient_1,89,0,Standing
78,Patient_1,90,0,Standing
79,Patient_1,91,0,Standing
80,Patient_1,93,0,Standing
81,Patient_1,94,0,Standing
82,Patient_1,95,0,Standing
